when,app,version,to_first_paint_ms,boot_ms,frames,hz,dropped_pct,worst_ms,longtasks,longtask_max_ms,gpu
2026-09-16 23:54:58,dev,0.8.0,2764,907,127,60,2.4,83,1,72,accelerated
2026-09-16 23:57:22,dev,0.8.0,3628,908,120,60,3.3,92,1,74,accelerated
2026-09-17 00:29:23,dev,0.8.0,3581,910,99,122,25.3,37,0,0,accelerated
2026-09-17 00:33:09,dev,0.8.0,4099,909,135,244,47.4,25,0,0,accelerated
2026-09-17 00:38:12,dev,0.8.0,11276,908,88,60,3.4,96,0,0,accelerated
2026-09-17 00:50:11,dev,0.8.0,3683,907,94,233,69.1,42,0,0,accelerated
2026-09-17 00:59:51,dev,0.8.0,3428,908,157,60,0.6,33,0,0,accelerated
2026-09-17 01:15:52,dev,0.8.0,4625,911,86,244,68.6,100,0,0,accelerated
2026-09-17 01:31:02,dev,0.8.0,3945,914,63,238,84.1,142,0,0,accelerated
2026-09-17 01:45:57,dev,0.9.0,2465,907,108,60,2.8,163,0,0,accelerated
2026-09-17 09:55:15,dev,0.9.0,194658,1586,184,60,2.7,221,1,203,accelerated
2026-09-17 10:34:23,dev,0.9.0,2336,961,164,60,1.2,188,1,183,accelerated
2026-09-17 10:40:19,dev,0.9.0,2093,1143,185,60,0,17,1,289,accelerated
2026-09-17 11:08:48,dev,0.9.0,3264,907,111,60,2.7,171,1,165,accelerated
2026-09-17 11:44:33,dev,0.9.5,2449,925,95,60,1.1,196,2,182,accelerated
2026-09-17 16:06:26,dev,0.9.5,2722,904,143,60,0,24,0,0,accelerated
2026-09-17 16:30:16,dev,0.9.5,2637,903,174,60,0.6,121,1,115,accelerated
2026-09-17 16:32:25,dev,0.9.5,2352,968,162,60,0.6,108,2,127,accelerated
2026-09-17 16:43:54,dev,0.9.5,1455,910,210,60,0,21,0,0,accelerated
2026-09-17 16:50:15,dev,0.9.5,1514,905,210,60,0,21,0,0,accelerated
2026-09-17 16:50:46,dev,0.9.5,2367,930,173,60,0.6,33,0,0,accelerated
2026-09-17 16:52:18,dev,0.9.5,1854,904,193,60,0.5,29,0,0,accelerated
2026-09-17 16:54:52,dev,0.9.5,1622,904,213,60,0,13,0,0,accelerated
2026-09-17 17:24:38,dev,0.9.5,3305,1285,261,244,6.1,25,0,0,accelerated
2026-09-17 17:29:33,dev,0.9.5,2286,1255,192,60,2.1,50,0,0,accelerated
